 Data_Period = 20180101 -- 20180131
      Hour        SIN_mg/cm3/h              STP_oC                 SWC             SWP_MPa                  pH
2018011612            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011613            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011614            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011615            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011616            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011617            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011618            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011619            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011620            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011621            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011622            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011623            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011624            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011701            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011702            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011703            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011704            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011705            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011706            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011707            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011708            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011709            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011710            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011711            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011712            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011713            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011714            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011715            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011716            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011717            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011718            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011719            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011720            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011721            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011722            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011723            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011724            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011801            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011802            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011803            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011804            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011805            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011806            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011807            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011808            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011809            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011810            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011811            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011812            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011813            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011814            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011815            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011816            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011817            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011818            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011819            0.000000           25.000000         -999.000000           -0.000726            7.200000
2018011820            0.000000           25.000000         -999.000000           -0.000726            7.200000
