 SCE-UA Results from Multiple Runs:

         LF0          r0         VP1         VP2          VM         KP1         KP2          KM        Qmax         Kba        Kdes          rE         pEP        fpEM          fD          gD          Vg       alpha          KD          Yg        Ygsl        wdie       gamma        beta       WPA2D         tau       wdorm |  CRITERION    OBJ-1:         0
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.016586    0.250463    0.100014    0.019155    0.047130    0.384356    0.499998    0.599905    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.3056    0.2935    0.3177
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.026939    0.250189    0.100002    0.437179    0.049992    0.313201    0.499807    0.599961    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.2999    0.2574    0.3424
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.027173    0.250639    0.100036    0.994405    0.049976    0.312259    0.499724    0.599715    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.3000    0.2571    0.3429
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.026845    0.250060    0.100001    0.825050    0.049968    0.313903    0.499975    0.599971    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.2999    0.2576    0.3422
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.026952    0.250387    0.100002    0.809637    0.049995    0.313447    0.499914    0.599944    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.2999    0.2577    0.3421
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.026653    0.250389    0.100020    0.277475    0.049997    0.313940    0.499961    0.599995    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.2999    0.2576    0.3423
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.027005    0.250029    0.100041    0.308818    0.049986    0.312689    0.499284    0.599948    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.3000    0.2574    0.3426
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.027163    0.250080    0.100002    0.473306    0.049994    0.311773    0.497883    0.599971    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.3001    0.2579    0.3423
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.026885    0.250715    0.100018    0.762342    0.030249    0.499649    0.499996    0.599953    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.3144    0.2483    0.3806
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.031994    0.250371    0.100001    0.069129    0.049978    0.295284    0.499591    0.599971    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.3003    0.2467    0.3538
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.020472    0.250429    0.100019    0.794444    0.032656    0.498920    0.499997    0.599997    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.3132    0.2666    0.3598
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.027006    0.250125    0.100050    0.947879    0.049998    0.313026    0.499756    0.599945    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.2999    0.2575    0.3423
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.026754    0.250433    0.100002    0.850690    0.049988    0.313984    0.499997    0.599985    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.2999    0.2577    0.3421
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.032686    0.250108    0.100002    0.306719    0.049988    0.293378    0.499962    0.599969    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.3004    0.2458    0.3550
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.027250    0.250122    0.100111    0.110351    0.049993    0.311911    0.499972    0.599986    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.3000    0.2565    0.3434
    0.300000    0.100000   75.000000   75.000000   75.000000  100.000000    6.000000  492.000000    2.500000    6.000000    0.006000    0.010000    0.028533    0.250152    0.100026    0.335222    0.049994    0.307228    0.499856    0.599925    0.010000    1.200000    1.000000    0.001000    0.400000    0.250000    4.000000 |     0.3000    0.2538    0.3462
