MMDDHH	SIN_mg/cm3/h	STP_oC	SWC	SWP_MPa	pH
011920	0	25	0.245	-0.000726	7.3
011921	0	25	0.245	-0.000726	7.3
011922	0	25	0.245	-0.000726	7.3
011923	0	25	0.245	-0.000726	7.3
011924	0	25	0.245	-0.000726	7.3
012001	0	25	0.245	-0.000726	7.3
012002	0	25	0.245	-0.000726	7.3
012003	0	25	0.245	-0.000726	7.3
012004	0	25	0.245	-0.000726	7.3
012005	0	25	0.245	-0.000726	7.3
012006	0	25	0.245	-0.000726	7.3
012007	0	25	0.245	-0.000726	7.3
012008	0	25	0.245	-0.000726	7.3
012009	0	25	0.245	-0.000726	7.3
012010	0	25	0.245	-0.000726	7.3
012011	0	25	0.245	-0.000726	7.3
012012	0	25	0.245	-0.000726	7.3
012013	0	25	0.245	-0.000726	7.3
012014	0	25	0.245	-0.000726	7.3
012015	0	25	0.245	-0.000726	7.3
012016	0	25	0.245	-0.000726	7.3
012017	0	25	0.245	-0.000726	7.3
01'	0	25	0.245	-0.000726	7.3
012019	0	25	0.245	-0.000726	7.3
012020	0	25	0.245	-0.000726	7.3
012021	0	25	0.245	-0.000726	7.3
012022	0	25	0.245	-0.000726	7.3
012023	0	25	0.245	-0.000726	7.3
012024	0	25	0.245	-0.000726	7.3
012101	0	25	0.245	-0.000726	7.3
012102	0	25	0.245	-0.000726	7.3
012103	0	25	0.245	-0.000726	7.3
012104	0	25	0.245	-0.000726	7.3
012105	0	25	0.245	-0.000726	7.3
012106	0	25	0.245	-0.000726	7.3
012107	0	25	0.245	-0.000726	7.3
012108	0	25	0.245	-0.000726	7.3
012109	0	25	0.245	-0.000726	7.3
012110	0	25	0.245	-0.000726	7.3
012111	0	25	0.245	-0.000726	7.3
012112	0	25	0.245	-0.000726	7.3
012113	0	25	0.245	-0.000726	7.3
012114	0	25	0.245	-0.000726	7.3
012115	0	25	0.245	-0.000726	7.3
012116	0	25	0.245	-0.000726	7.3
012117	0	25	0.245	-0.000726	7.3
012118	0	25	0.245	-0.000726	7.3
012119	0	25	0.245	-0.000726	7.3
012120	0	25	0.245	-0.000726	7.3
012121	0	25	0.245	-0.000726	7.3
012122	0	25	0.245	-0.000726	7.3
012123	0	25	0.245	-0.000726	7.3
012124	0	25	0.245	-0.000726	7.3
012201	0	25	0.245	-0.000726	7.3
012202	0	25	0.245	-0.000726	7.3
012203	0	25	0.245	-0.000726	7.3
012204	0	25	0.245	-0.000726	7.3
012205	0	25	0.245	-0.000726	7.3
012206	0	25	0.245	-0.000726	7.3
012207	0	25	0.245	-0.000726	7.3
012208	0	25	0.245	-0.000726	7.3
012209	0	25	0.245	-0.000726	7.3
012210	0	25	0.245	-0.000726	7.3
012211	0	25	0.245	-0.000726	7.3
012212	0	25	0.245	-0.000726	7.3
012213	0	25	0.245	-0.000726	7.3
012214	0	25	0.245	-0.000726	7.3
012215	0	25	0.245	-0.000726	7.3
012216	0	25	0.245	-0.000726	7.3
012217	0	25	0.245	-0.000726	7.3
012218	0	25	0.245	-0.000726	7.3
012219	0	25	0.245	-0.000726	7.3
012220	0	25	0.245	-0.000726	7.3
012221	0	25	0.245	-0.000726	7.3
012222	0	25	0.245	-0.000726	7.3
012223	0	25	0.245	-0.000726	7.3
012224	0	25	0.245	-0.000726	7.3
012301	0	25	0.245	-0.000726	7.3
